id,name,address,city,post_code,gmina,powiat,wojewodztwo
12813,Szkoła Podstawowa Nr 6 im. Orła Białego, ul. Henryka Sienkiewicza 15,Ostrołęka,07-410,m. Ostrołęka,Ostrołęka,mazowieckie
12814,Szkoła Podstawowa Nr 6 im. dr Władysława Gębika, ul. Grunwaldzka 54,Kwidzyn,82-500,m. Kwidzyn,kwidzyński,pomorskie
12815,Szkoła Podstawowa Nr 6 im. ks. Jana Twardowskiego w Pszczynie, ul. Księżycowa 25,Pszczyna,43-200,gm. Pszczyna,pszczyński,śląskie
12816,Szkoła Podstawowa Nr 6 im. ks. Karola Palicy w Tychach, ul. Katowicka 102,Tychy,43-100,m. Tychy,Tychy,śląskie
12817,Szkoła Podstawowa Nr 6 w Augustowie, ul. Tartaczna 21,Augustów,16-300,m. Augustów,augustowski,podlaskie
12818,Szkoła Podstawowa Nr 6 w Międzyrzeczu, ul. Komisji Edukacji Narodowej 1,Międzyrzecz,66-300,gm. Międzyrzecz,międzyrzecki,lubuskie
12819,Szkoła Podstawowa Nr 6 w Olkuszu, ul. Długa 67,Olkusz,32-300,gm. Olkusz,olkuski,małopolskie
12820,Szkoła Podstawowa Nr 6 w Opaczy, Opacz 7,Konstancin-Jeziorna,05-520,gm. Konstancin-Jeziorna,piaseczyński,mazowieckie
12821,Szkoła Podstawowa Nr 6 w Starachowicach, ul. Stanisława Moniuszki 117,Starachowice,27-200,m. Starachowice,starachowicki,świętokrzyskie
12822,Szkoła Podstawowa Nr 6 w Trzebini, os. Osiedle Gaj 39,Trzebinia,32-540,gm. Trzebinia,chrzanowski,małopolskie
12823,Szkoła Podstawowa Nr 6 w Zamościu, ul. Orla 5,Zamość,22-400,m. Zamość,Zamość,lubelskie
12824,Szkoła Podstawowa Nr 6 z Oddziałami Dwujęzycznymi, ul. Legionów 21,Sosnowiec,41-200,m. Sosnowiec,Sosnowiec,śląskie
12825,Szkoła Podstawowa Nr 6 z Oddziałami Dwujęzycznymi, ul. Wawel 13,Sosnowiec,41-200,m. Sosnowiec,Sosnowiec,śląskie
12826,Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im. J. Kreta w Ustroniu w Zespole Szkolno-Przedszkolny nr 3 w Ustroniu, ul. Józefa Kreta 19,Ustroń,43-450,m. Ustroń,cieszyński,śląskie
12827,Szkoła Podstawowa Nr 6 z Oddziałami Integracyjnymi im. Noblistów Polskich w Skawinie, ul. Wincentego Witosa 4,Skawina,32-050,gm. Skawina,krakowski,małopolskie
12828,Szkoła Podstawowa Nr 6 z Oddziałami Przedszkolnymi, ul. Katowicka 68,Cieszyn,43-400,m. Cieszyn,cieszyński,śląskie
12829,Szkoła Podstawowa Nr 6, al. Aleja Józefa Piłsudskiego 4,Elbląg,82-300,m. Elbląg,Elbląg,warmińsko-mazurskie
12830,Szkoła Podstawowa Nr 6 hol wejście główne , ul. Dzika 36,Ząbki,05-091,m. Ząbki,wołomiński,mazowieckie
12831,Szkoła Podstawowa Nr 6 hol wejście od hali sportowej , ul. Dzika 36,Ząbki,05-091,m. Ząbki,wołomiński,mazowieckie
12832,Szkoła Podstawowa Nr 6, os. Na Skarpie 11,Nowy Targ,34-400,m. Nowy Targ,nowotarski,małopolskie
12833,Szkoła Podstawowa Nr 6, ul. Ambasadorska 1,Otwock,05-400,m. Otwock,otwocki,mazowieckie
12834,Szkoła Podstawowa Nr 6, ul. Armii Krajowej 29,Szczecinek,78-400,m. Szczecinek,szczecinecki,zachodniopomorskie
12835,Szkoła Podstawowa Nr 6, ul. Bytomska 8,Ruda Śląska,41-712,m. Ruda Śląska,Ruda Śląska,śląskie
12836,Szkoła Podstawowa Nr 6, ul. Cieplicka 74,Jelenia Góra,58-560,m. Jelenia Góra,Jelenia Góra,dolnośląskie
12837,Szkoła Podstawowa Nr 6, ul. Fryderyka Chopina 4A,Siemianowice Śląskie,41-100,m. Siemianowice Śląskie,Siemianowice Śląskie,śląskie
12838,Szkoła Podstawowa Nr 6, ul. Gliwicka 299,Mikołów,43-190,m. Mikołów,mikołowski,śląskie
12839,Szkoła Podstawowa Nr 6, ul. Gnieźnieńska 3,Koszalin,75-736,m. Koszalin,Koszalin,zachodniopomorskie
12840,Szkoła Podstawowa Nr 6, ul. Grunwaldzka 2,Kraśnik,23-204,m. Kraśnik,kraśnicki,lubelskie
12841,Szkoła Podstawowa Nr 6, ul. Henryka Sienkiewicza 49,Siedlce,08-110,m. Siedlce,Siedlce,mazowieckie
12842,Szkoła Podstawowa Nr 6, ul. Juliana Ursyna Niemcewicza 4,Puławy,24-100,m. Puławy,puławski,lubelskie
12843,Szkoła Podstawowa Nr 6, ul. Józefa Mireckiego 56,Żyrardów,96-300,m. Żyrardów,żyrardowski,mazowieckie
12844,Szkoła Podstawowa Nr 6, ul. Kopernika 18,Szczecinek,78-400,m. Szczecinek,szczecinecki,zachodniopomorskie
12845,Szkoła Podstawowa Nr 6, ul. Królowej Jadwigi 2,Bytom,41-902,m. Bytom,Bytom,śląskie
12846,Szkoła Podstawowa Nr 6, ul. Lipowa 24,Jaworzno,43-600,m. Jaworzno,Jaworzno,śląskie
12847,Szkoła Podstawowa Nr 6, ul. Osiedle Młodych 8,Ostróda,14-100,m. Ostróda,ostródzki,warmińsko-mazurskie
12848,Szkoła Podstawowa Nr 6, ul. Przemyska 80,Sanok,38-500,m. Sanok,sanocki,podkarpackie
12849,Szkoła Podstawowa Nr 6, ul. Sienkiewicza 30,Rumia,84-230,m. Rumia,wejherowski,pomorskie
12850,Szkoła Podstawowa Nr 6, ul. Solskiego 8,Mielec,39-300,m. Mielec,mielecki,podkarpackie
12851,Szkoła Podstawowa Nr 6, ul. Sportowa 6,Oława,55-200,m. Oława,oławski,dolnośląskie
12852,Szkoła Podstawowa Nr 6, ul. Spytka z Jarosławia 2,Jarosław,37-500,m. Jarosław,jarosławski,podkarpackie
12853,Szkoła Podstawowa Nr 6, ul. Stanisława Staszica 17,Świnoujście,72-600,m. Świnoujście,Świnoujście,zachodniopomorskie
12854,Szkoła Podstawowa Nr 6, ul. Staroprzygodzka 112,Ostrów Wielkopolski,63-400,m. Ostrów Wielkopolski,ostrowski,wielkopolskie
12855,Szkoła Podstawowa Nr 6, ul. Tadeusza Kościuszki 11,Świnoujście,72-600,m. Świnoujście,Świnoujście,zachodniopomorskie
12856,Szkoła Podstawowa Nr 6, ul. Tarnowska 109,Nowy Sącz,33-300,m. Nowy Sącz,Nowy Sącz,małopolskie
12857,Szkoła Podstawowa Nr 6, ul. Wesoła 11a,Białystok,15-307,m. Białystok,Białystok,podlaskie
