mysql> SELECT * FROM gmina;
+------+-----------------------------+
| id   | name                        |
|  531 | gm. Gniewoszów              |
|  532 | gm. Zawidz                  |
|  533 | gm. Grodziczno              |
|  534 | gm. ?mielów                 |
|  535 | gm. Bobrowniki              |
|  536 | gm. Krasnopol               |
|  537 | gm. Zambrów                 |
|  538 | gm. Go?cza                  |
|  539 | gm. Dalików                 |
|  540 | gm. Baka?arzewo             |
|  541 | gm. Janów Lubelski          |
|  542 | gm. Ku?nica                 |
|  543 | gm. ?arnowiec               |
|  544 | gm. Tomaszów Lubelski       |
|  545 | gm. Tarnogród               |
|  546 | gm. Kutno                   |
|  547 | gm. Padew Narodowa          |
|  548 | gm. Trzebieszów             |
|  549 | gm. Milejów                 |
|  550 | gm. Wierzbica               |
|  551 | gm. Dywity                  |
|  552 | gm. Korycin                 |
|  553 | gm. D?browa Bia?ostocka     |
|  554 | gm. Brzozie                 |
|  555 | gm. Lipnik                  |
|  556 | gm. Lubraniec               |
|  557 | m. Lidzbark Warmi?ski       |
|  558 | gm. Jab?onna Lacka          |
|  559 | gm. O?awa                   |
|  560 | gm. Klucze                  |
|  561 | gm. Pyzdry                  |
|  562 | m. Mielec                   |
|  563 | gm. Mie?cisko               |
|  564 | gm. Bierutów                |
|  565 | gm. Kotlin                  |
|  566 | gm. Wa?niów                 |
|  567 | gm. Liszki                  |
|  568 | gm. Jedwabno                |
|  569 | gm. ?omazy                  |
|  570 | gm. Blizanów                |
|  571 | gm. Radzy? Che?mi?ski       |
|  572 | gm. Goni?dz                 |
|  573 | gm. Baligród                |
|  574 | m. Ostrowiec ?wi?tokrzyski  |
|  575 | gm. Lichnowy                |
|  576 | gm. Koluszki                |
|  577 | gm. My?libórz               |
|  578 | gm. Kórnik                  |
|  579 | gm. Tyszowce                |
|  580 | gm. Stanis?awów             |
|  581 | gm. D?browa                 |
|  582 | m. Chojnice                 |
|  583 | gm. Raciechowice            |
|  584 | gm. Mogilany                |
|  585 | gm. Siewierz                |
|  586 | gm. Suwa?ki                 |
|  587 | gm. Przemy?l                |
|  588 | gm. Borowa                  |
|  589 | gm. Stara Kornica           |
|  590 | gm. Skaryszew               |
|  591 | gm. Ple?na                  |
|  592 | gm. ??czna                  |
|  593 | gm. Raków                   |
|  594 | m. Jastrz?bie-Zdrój         |
|  595 | gm. ?opiennik Górny         |
|  596 | m. Ko?cian                  |
|  597 | m. Skierniewice             |
|  598 | gm. Prostki                 |
|  599 | gm. Ja?liska                |
|  600 | gm. Gorzkowice              |
|  601 | gm. Wizna                   |
|  602 | gm. Wielopole Skrzy?skie    |
|  603 | gm. Rudziniec               |
|  604 | gm. Ko?cielisko             |
|  605 | gm. Zdzieszowice            |
|  606 | gm. Limanowa                |
|  607 | gm. Dzikowiec               |
|  608 | gm. Kleczew                 |
|  609 | gm. Michów                  |
|  610 | gm. Regimin                 |
|  611 | gm. Janów                   |
|  612 | gm. ?ukowo                  |
|  613 | gm. Jastrz?b                |
|  614 | gm. Parady?                 |
|  615 | gm. Rudnik                  |
|  616 | gm. Jeziorzany              |
|  617 | m. ?ywiec                   |
|  618 | m. Gostynin                 |
|  619 | m. Radomsko                 |
|  620 | gm. Miechów                 |
|  621 | m. ??czyca                  |
|  622 | m. Sandomierz               |
|  623 | gm. M?cinka                 |
|  624 | gm. Sanniki                 |
|  625 | gm. Mas?ów                  |
|  626 | gm. Zab?udów                |
|  627 | gm. Dubiecko                |
|  628 | gm. Przodkowo               |
|  629 | gm. Iwierzyce               |
|  630 | gm. Krosno Odrza?skie       |
|  631 | Mokotów                     |
|  632 | Ochota                      |
|  633 | gm. Na??czów                |
|  634 | Targówek                    |
|  635 | gm. Nowy Korczyn            |
|  636 | gm. Pacanów                 |
|  637 | gm. Nysa                    |
|  638 | gm. Polska Cerekiew         |
|  639 | m. Nowe Miasto Lubawskie    |
|  640 | m. Ole?nica                 |
|  641 | gm. My?lenice               |
|  642 | gm. Boles?awiec             |
|  643 | gm. Gogolin                 |
|  644 | gm. Pasym                   |
|  645 | gm. Skawina                 |
|  646 | gm. Bielsk Podlaski         |
|  647 | gm. Kurz?tnik               |
|  648 | gm. Chmielnik               |
|  649 | gm. S?upsk                  |
|  650 | gm. Poczesna                |
|  651 | gm. Mi?oradz                |
|  652 | gm. D?browa Biskupia        |
|  653 | gm. Podgórzyn               |
|  654 | gm. Osiecznica              |
|  655 | gm. S?pólno Kraje?skie      |
|  656 | m. Nowa Sól                 |
|  657 | gm. Gr?bocice               |
|  658 | m. Rypin                    |
|  659 | gm. Strzelce Kraje?skie     |
|  660 | gm. Wo?omin                 |
|  661 | m. Jedlina-Zdrój            |
|  662 | gm. K?odzko                 |
|  663 | m. Wojcieszów               |
|  664 | gm. Kamienna Góra           |
|  665 | gm. Che?m                   |
|  666 | gm. Osie                    |
|  667 | gm. Lubiszyn                |
|  668 | gm. Olszanka                |
|  669 | gm. Cmolas                  |
|  670 | gm. Skoczów                 |
|  671 | gm. Pilzno                  |
|  672 | gm. Daleszyce               |
|  673 | gm. Miastko                 |
|  674 | m. Gorzów Wielkopolski      |
|  675 | gm. Krynki                  |
|  676 | gm. Damnica                 |
|  677 | m. Zabrze                   |
|  678 | gm. Piaseczno               |
|  679 | gm. ?ob?enica               |
|  680 | gm. Wieliczka               |
|  681 | gm. Kro?nice                |
|  682 | gm. Nak?o nad Noteci?       |
|  683 | gm. Opole Lubelskie         |
|  684 | gm. Zi?bice                 |
|  685 | gm. P?aska                  |
|  686 | gm. Janowice Wielkie        |
|  687 | gm. G?ucho?azy              |
|  688 | gm. Pako??                  |
|  689 | gm. Lgota Wielka            |
|  690 | gm. Radków                  |
|  691 | gm. S?awno                  |
|  692 | gm. Somonino                |
